"STATE","COUNTY","deaths","population","pop.density","deaths.100k","hisp.latino.pct","black.pct","native.pct","median.age","median.income","pct.public.transpo","high.risk.job","mask.frequent","R.pres.margin","health.condition","avg.temp","mask.mand.days","mask.mand.flag","stay.home.days","stay.home.flag","bars.closed.days","bars.closed.flag","rest.closed.days","rest.closed.flag","county.class"
"FL",131,89,74071,27.5442314204751,120.154986431937,6.2,4.6,0.4,44,58093,0.3,25.78,51.44,51.72,44.5,68.2,0,0,31,1,160,1,45,1,3
"FL",133,52,25473,16.8215673405857,204.137714442743,3.7,15,1.3,41.5,37022,0.4,34.54,55.86,61.08,53.1,68.5,0,0,31,1,160,1,45,1,6
"FL",15,437,188910,107.08638018583,231.327086972632,7.3,5.4,0.3,59.1,51499,0.2,28.52,64.16,26.62,46.8,75.5,0,0,31,1,160,1,45,1,3
"FL",17,463,149657,99.297244662724,309.3741021135,5.7,2.8,0.2,56.5,44237,0.3,31.18,61.08,41.05,47.1,73.1,0,0,31,1,160,1,45,1,3
"FL",19,352,219252,140.013393817708,160.545855910094,9.9,10.3,0.1,39.7,65740,0.2,28.2,52.21,37.11,43.1,71.3,0,0,31,1,160,1,45,1,1
"FL",21,551,384902,74.4192401783784,143.153322144338,27.9,6.7,0.2,50.8,69653,1.6,29.36,66.01,24.7,39.6,76.3,0,0,31,1,160,1,45,1,2
"FL",23,170,71686,34.7038746061241,237.145328237034,6.3,17.8,0.2,40.4,46494,0.1,32.03,38.75,45.16,49.6,68.7,0,0,31,1,160,1,45,1,4
"FL",27,97,38001,23.0444314096307,255.256440619984,31.6,12.5,0.1,40.9,35438,4.4,35.63,71.64,32.02,48.5,74.6,0,0,31,1,160,1,45,1,6
"FL",29,24,16826,9.21452769577693,142.636396053726,4.1,8.8,0,46.5,39828,0,38.42,40.02,66.05,50.4,70.6,0,0,31,1,160,1,45,1,6
"FL",3,62,29210,19.2711281688942,212.256076686066,2.6,13.3,0.5,37.7,63275,0,30.34,44.42,70.23,49.1,68.8,0,0,31,1,160,1,45,1,1
"FL",31,1483,957755,484.879273583874,154.841269426941,9.7,29.2,0.2,36.2,55807,1.8,26.41,63.09,-3.81,47,70.7,0,0,31,1,160,1,45,1,1
"FL",33,706,318316,187.068240119882,221.792181354377,5.7,21.7,0.4,37.2,50915,0.6,27.56,52.71,15.11,45.5,68.2,0,0,31,1,160,1,45,1,2
"FL",35,114,115081,91.3881418728507,99.0606616209452,10.4,9.9,0.3,51.3,54514,0.3,27.7,60.36,20.75,45.2,72.7,0,0,31,1,160,1,45,1,2
"FL",37,20,12125,8.59015861906778,164.948453608247,5.5,13.8,0,46.4,46643,0.5,33.13,41.43,37.3,47.9,69.9,0,0,31,1,160,1,45,1,6
"FL",39,99,45660,34.1407354826488,216.819973718791,10.4,55.8,0.1,40.8,41401,0.3,27.26,57.73,-36.56,53.5,68.5,0,0,40,1,160,1,45,1,2
